店名,カテゴリー,地域,住所,電話,ホームページ,テイクアウト,デリバリー,備考
つむぎ庵,和食,中央,〒320-0827 宇都宮市花房2-3-10,028-633-3321,https://tsumugi.info,あり,なし,
Fromagerie Fil,洋食,中央,〒320-0026 宇都宮市馬場通り4-2-11第一ビル東,028-612-4837,https://f-fil.com/,あり,なし,
常本,和食,中央,〒320-0811 宇都宮市大通り3-5-15,028-634-5550,なし,あり,あり,
bar andalucia,ダイニングバー・バル,中央,〒320-0806 宇都宮市中央5-1-2,028-348-3101,なし,なし,なし,
サンクリストフォロ,イタリアン・フレンチ,中央,〒321-0967 宇都宮市錦3-9-4,028-643-3332,https://s-cristoforo.com/,あり,なし,
吉田ホルモン,焼肉・ホルモン,中央,〒320-0033 宇都宮市本町2-5XYZビル1F,028-622-4444,なし,なし,なし,
寿司割烹喜多八,和食,南部,〒321-0921 宇都宮市瑞穂1-19-10,028-656-4611,http://www13.plala.or.jp/kitahachi/,あり,なし,
すし旬の味　久松,和食,東部,〒321-0901 宇都宮市平出町1771-1,028-663-2131,https://hisamatsu.gorp.jp/,あり,なし,
レストランペニーレイン宇都宮店,洋食,東部,〒321-0953 宇都宮市東宿郷6-4-1,028-638-1960,https://pennylane.company/utsunomiya,あり,なし,
山本そば店,うどん・そば,中央,〒320-0862 宇都宮市西原1-4-24,028-634-7730,なし,あり,あり,
Bee’s Kitchen,洋食,西部,〒320-0851 宇都宮市鶴田町229弘隆ハイブリッジ107,028-680-4876,なし,あり,あり,
和たけい,和食,南部,〒321-0915 宇都宮市東刑部町1592-2,028-656-1361,なし,あり,なし,
麵工房風の杜,ラーメン,中央,〒320-0055 宇都宮市下戸祭1-5-108,028-601-4234,なし,あり,なし,
お料理とお酒oto,居酒屋,東部,〒321-0953 宇都宮市東宿郷3-11-6,028-680-7440,なし,あり,なし,
麵道花の杜,ラーメン,東部,〒321-0942 宇都宮市峰1-13-17,028-678-6712,なし,あり,なし,
笹寿司,和食,東部,〒321-0968 宇都宮市中今泉5-23-10,028-663-6636,https://www.sasazusi.com/,あり,なし,
とんかつあじでん,和食,中央,〒320-0055 宇都宮市下戸祭2-20-6,028-625-2939,なし,あり,あり,
麵龍炎の杜,ラーメン,北部,〒321-0982 宇都宮市御幸ｹ原町136-42,028-680-7402,なし,あり,なし,
PUBSASO,その他,中央,〒320-0033 宇都宮市本町6-10泉町ステラビル3FB,028-643-6363,なし,なし,なし,
一八〈ARAKAWA〉,和食,中央,〒320-0802 宇都宮市江野町3-3,028-632-6101,https://ippachi-arakawa.com,あり,なし,
pig berry,カフェ・スイーツ,西部,〒321-0157 宇都宮市幕田町1063,090-5330-7572,なし,あり,なし,
肉汁うどん　作左ヱ門,うどん・そば,東部,〒321-0932 宇都宮市平松本町1112-20,028-678-5556,なし,あり,なし,
ＤＩＮＩＮＧまちもち,居酒屋,西部,〒321-0152 宇都宮市西川田3-8-10,028-659-8500,なし,あり,なし,
漁美鮨,和食,西部,〒321-0344 宇都宮市田野町471-5,028-652-4892,"https://www.google.com/maps/contrib/107992783814452816215/photos/@36.5953033,139.7999616,17z/data=!3m1!4b1!4m3!8m2!3m1!1e1",あり,あり,
鳳～あげは～,居酒屋,中央,〒320-0806 宇都宮市中央1-10-15,028-612-7646,なし,あり,なし,
炭火kitchen　うぶと,その他,中央,〒320-0806 宇都宮市中央3-3-3,028-612-6577,なし,あり,なし,
すし稲佳,和食,北部,〒321-0973 宇都宮市岩曽町1364-5,028-688-7487,なし,あり,なし,
鉄板焼　峰,居酒屋,南部,〒321-0135 宇都宮市五代3-15-24,028-653-7956,なし,あり,なし,
Bagdgd Cafe 比嘉,居酒屋,中央,〒320-0806 宇都宮市中央5-11-11,090-9726-9726,なし,なし,なし,
そば処 弥奈喜多,うどん・そば,東部,〒321-0902 宇都宮市柳田町413-9,028-664-0726,なし,なし,なし,
下野農園,洋食,中央,〒320-0055 宇都宮市下戸祭2-3-2,028-678-6593,http://shimotsukefarm.com/,あり,なし,
中国料理銀座園,中華,中央,〒320-0803 宇都宮市曲師町4-11,028-633-3915,http://www.ginzaen.co.jp,あり,なし,
手羽丸,居酒屋,東部,〒321-0904 宇都宮市陽東2-4-9,028-688-7331,https://japanese-izakaya-restaurant-10880.business.site/,あり,なし,
Ｈａｎａｂｕｓａ,和食,西部,〒320-0851 宇都宮市鶴田町799-7,028-611-3563,なし,あり,なし,
カレーハウスＣｏＣｏ壱番屋　宇都宮インターパーク店,その他,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ2-14-1,028-657-8551,なし,あり,なし,カレーライスはもちろん、カレーうどん、カレーラーメンも取り扱っております☆
炭火焼肉幻,焼肉・ホルモン,東部,〒321-0942 宇都宮市峰1-24-6,028-612-6941,なし,あり,なし,
割烹岡,和食,南部,〒321-0923 宇都宮市下栗町779-4,028-656-9334,なし,なし,なし,
酒処たつみ,居酒屋,東部,〒321-0945 宇都宮市宿郷2-7-3IRビル宿郷1-A,028-680-7028,なし,あり,なし,
焼肉レストラン 阿吾羅,焼肉・ホルモン,中央,〒320-0866 宇都宮市西大寛2-1-3,028-651-4129,なし,あり,なし,
Little Cedar,カフェ・スイーツ,西部,〒320-0856 宇都宮市砥上町343-20,028-688-7633,なし,なし,なし,
たんや 練,焼肉・ホルモン,南部,〒321-0118 宇都宮市ｲﾝﾀｰﾊﾟｰｸ1-5-1,028-612-1616,なし,あり,なし,
花千里,和食,北部,〒321-0973 宇都宮市岩曽町592-2,028-689-6892,なし,なし,なし,
智Toshi,和食,中央,〒321-0934 宇都宮市簗瀬1-25-5,028-611-3024,なし,なし,なし,
串屋　呑鳥,居酒屋,中央,〒320-0803 宇都宮市曲師町5-4中村園ビル2階,028-614-3838,https://kushiya.toriya-doncho.com,あり,なし,
焼きたてパン プチ・トマト,その他,東部,〒321-0901 宇都宮市平出町354-1,028-612-2200,なし,あり,なし,
小籠包Garden大地,中華,東部,〒321-0904 宇都宮市陽東8-9-41,028-612-1515,https://www.shouronpou-garden-daichi.com/,あり,なし,
月あかり,居酒屋,東部,〒321-0953 宇都宮市東宿郷1-5-19テラビル1階,028-610-1888,https://tsukiakari-utsunomiyahigashi.owst.jp/,なし,なし,
フランス料理アコール,イタリアン・フレンチ,南部,〒321-0136 宇都宮市みどり野町13-21,028-655-3590,http://acoold.com,あり,なし,
チバコーヒー（対象：店内飲食等）,カフェ・スイーツ,東部,〒321-0904 宇都宮市陽東3-8-4,028-660-8090,http://chibacoffee.jp/,あり,なし,
Wine Bar COMPLET,ダイニングバー・バル,中央,〒320-0027 宇都宮市塙田2-5-5モンクール塙田1F,028-612-3633,なし,なし,なし,
美好屋,和食,中央,〒320-0803 宇都宮市曲師町3-13,028-634-7353,なし,あり,なし,
川蝉,和食,中央,〒320-0811 宇都宮市大通り5-1-19,028-625-5483,なし,あり,なし,
南地楼,中華,東部,〒321-0904 宇都宮市陽東3-18-9,028-663-5683,なし,なし,なし,
陽射亭,居酒屋,西部,〒320-0048 宇都宮市北一の沢町21-19,028-627-1575,なし,なし,なし,
鉄板焼ステーキ世里花,ステーキ,中央,〒320-0805 宇都宮市中央本町1-3マルヨシビル３階,028-636-8773,https://steak-serika.com,あり,なし,
しゃぶしゃぶどん亭 宇都宮鶴田店,その他,西部,〒320-0851 宇都宮市鶴田町1348-1,028-647-3999,なし,あり,なし,
博多串焼　馬肉料理　一九,居酒屋,中央,〒320-0802 宇都宮市江野町2-9,028-612-1019,https://g.page/kishiuma19?share,なし,なし,
うおよう,和食,中央,〒320-0821 宇都宮市一条1-1-6,028-633-0548,なし,なし,なし,
LOCAL RESTAURANT HUT,洋食,西部,〒320-0851 宇都宮市鶴田町1965-11,028-307-9796,https://instagram.com/local_restaurant_hut?utm_medium=copy_link,なし,なし,
コジマネーゼ（対象：店内飲食等）,イタリアン・フレンチ,東部,〒321-0968 宇都宮市宇都宮市中今泉1-18-10 ヴァルトベルクⅡ東１号,028-908-9717,なし,あり,なし,
ル　マグノリア,イタリアン・フレンチ,西部,〒320-0851 宇都宮市鶴田町2154-13,028-678-3311,http://www.lemagnolia.justhpbs.jp/,なし,なし,
とんかつ　ぎんなん,和食,西部,〒321-0158 宇都宮市西川田本町2ｰ7ｰ15,028-658-4786,http://www.instagram.com/ton_katsu.gin_nan/,あり,なし,
若松屋,カフェ・スイーツ,南部,〒321-0132 宇都宮市雀の宮1-20-3,028-653-0238,なし,あり,なし,
麺栞みかさ,ラーメン,北部,〒321-2116 宇都宮市徳次郎町452-1,028-305-4418,なし,あり,なし,
やまと鮨,和食,東部,〒321-0968 宇都宮市中今泉2-1-9,028-634-3547,なし,あり,あり,
割烹吉浜,和食,東部,〒321-0953 宇都宮市東宿郷5-3-4ハーモネートビル地下1階,028-639-7972,https://www.hotpepper.jp/strJ000034485/,あり,なし,
Want a Beer,イタリアン・フレンチ,東部,〒321-0954 宇都宮市元今泉3-4-6,028-348-2650,なし,あり,なし,
Ｈitomi’s Bar,その他,中央,〒320-0014 宇都宮市本町6-10ステラビル,090-3476-5040,なし,なし,なし,
栃木マイクロブルワリー（対象：店内飲食等）,ダイニングバー・バル,中央,〒320-0021 宇都宮市東塙田1-5-12,028-622-1314,http://www.beatclub.jp/microb/,あり,なし,
食彩工房すず,居酒屋,中央,〒321-0111 宇都宮市川田町1029-1,028-635-1773,なし,あり,なし,
モスバーガー宇都宮若松原店,ファストフード,南部,〒321-0153 宇都宮市北若松原1-13-16,028-611-1321,https://www.mos.jp/shop/detail/05261/,あり,なし,
焼肉こうらい,焼肉・ホルモン,東部,〒321-3223 宇都宮市清原台1-5-15,028-667-3630,https://yakiniku-restaurant-kourai.business.site/,なし,なし,"・10歳未満のお子様連れのご入店はお断りしております。
・ご入店より2時間制となっております。"
らぁめん篠﨑,ラーメン,東部,〒321-0953 宇都宮市東宿郷5-3-9ﾁｻﾝﾏﾝｼｮﾝ東宿郷1階102,028-638-1311,なし,あり,あり,
鳥あえず,居酒屋,西部,〒320-0051 宇都宮市上戸祭町2834-264,028-622-0149,なし,あり,なし,
たまり酔家,居酒屋,東部,〒321-0945 宇都宮市宿郷1-6-7ｺｰﾎﾟ三鈴1F,028-639-9991,なし,なし,なし,
焼肉牛家屯（TAMURO),焼肉・ホルモン,西部,〒320-0857 宇都宮市鶴田1-2-28,028-666-5433,なし,あり,なし,
BAR 1976,ダイニングバー・バル,中央,〒320-0033 宇都宮市本町13-5 2F,028-625-1976,なし,なし,なし,
Cafe&Tavern Season1,各国料理（韓国料理・カレー等）,西部,〒321-0151 宇都宮市西川田町1004-23,028-666-7647,http://www.Season1.site,あり,あり,
ニ八そば・うどん　天ざる,うどん・そば,西部,〒321-0344 宇都宮市田野町719-1,028-652-0039,なし,なし,なし,
寿司・割烹　友起,和食,中央,〒320-0831 宇都宮市新町2-1-28,028-635-8760,なし,あり,なし,
ふらり酔家,居酒屋,東部,〒321-0953 宇都宮市東宿郷1-3-6,028-638-4180,なし,なし,なし,
MooM　ガパオ×パエリア...バル,その他,南部,〒321-0164 宇都宮市双葉2-9-37双葉マンション103,028-612-1364,なし,あり,なし,
鉢とれんげ,ラーメン,中央,〒320-0803 宇都宮市曲師町5-2,090-2213-5756,なし,あり,なし,
フランス菓子サン・マルタン,カフェ・スイーツ,東部,〒321-0968 宇都宮市中今泉5-27-3,028-663-0053,なし,あり,なし,
雑草家,ダイニングバー・バル,中央,〒320-0804 宇都宮市二荒町1-14ｲｼｲﾋﾞﾙ3F,080-7530-5627,なし,なし,なし,
日光ぷりん亭　大谷店,カフェ・スイーツ,西部,〒321-0345 宇都宮市大谷町1263-2ベルテラシェ大谷,028-678-8235,http://nikko-pudding.jp,あり,なし,
ローストキッチン,焼肉・ホルモン,西部,〒320-0851 宇都宮市鶴田町1998-5菖蒲苑マンション１０３.１０４,028-678-2914,https://roastkitchen.website/,あり,あり,
中国料理あいうえお,中華,東部,〒321-0953 宇都宮市東宿郷2-10-4,028-649-9500,なし,なし,なし,
自然派ワインのお店ELDABO,洋食,中央,〒320-0802 宇都宮市江野町2-10ﾌﾀﾊﾞﾔﾋﾞﾙ2F,028-612-7058,なし,あり,なし,
つけ蕎麦　辛流,うどん・そば,東部,〒321-0945 宇都宮市宿郷1-12-9カサブランカビル1階,028-638-8800,なし,あり,あり,
牛楽ゴールド店,焼肉・ホルモン,中央,〒321-0925 宇都宮市東簗瀬1-1-5,028-680-6775,なし,なし,なし,
あかつきや,和食,中央,〒320-0026 宇都宮市馬場通り4-2-12,028-622-1300,なし,あり,なし,
四季料理はな坊,和食,中央,〒321-0966 宇都宮市今泉2-10-13,028-624-6409,なし,あり,あり,
レストランHummingbird,創作料理,南部,〒321-0151 宇都宮市西川田町521-1,090-8773-1323,https://restaurant-hummingbird.com/,あり,あり,
檜食堂,ラーメン,中央,〒320-0021 宇都宮市東塙田2-5-15,028-622-0062,なし,あり,なし,
IZAKAYAとんとん,居酒屋,中央,〒320-0862 宇都宮市西原3-3-14,028-632-8508,なし,あり,なし,
ベジタブルキッチンサンテ,洋食,西部,〒320-0856 宇都宮市砥上町1085-2,028-648-9831,https://ameblo.jp/sante831yasai/,なし,なし,
ラプレミディ,洋食,南部,〒321-0102 宇都宮市江曽島町1028-10,028-659-3590,なし,あり,なし,
しゃぶしゃぶステーキハウス牛久亭,ステーキ,中央,〒320-0844 宇都宮市菊水町11-1ｶﾒﾜﾀﾞ第一ﾋﾞﾙ1階,028-632-5141,なし,あり,なし,
バー・シャモニー,その他,中央,〒320-0802 宇都宮市江野町10-2,028-636-8760,https://www.ucclub.net/,あり,なし,
山泉楼駅東店,中華,東部,〒321-0953 宇都宮市東宿郷3-3-3,028-637-3301,なし,あり,なし,
タイレストランイサーン,各国料理（韓国料理・カレー等）,中央,〒320-0055 宇都宮市下戸祭2-15-21TSﾋﾞﾙ1F,028-678-3014,http://isaaan.com/,あり,あり,
割烹武蔵野,和食,中央,〒320-0033 宇都宮市本町6-7,028-622-8220,なし,あり,なし,
Cafe彩,カフェ・スイーツ,北部,〒321-0971 宇都宮市海道町810-2ｱｰﾊﾞﾝ菊水1階,028-678-6952,なし,あり,なし,
新和寿司・肴料理ののじ　坂の下店,和食,西部,〒320-0053 宇都宮市戸祭町2229,028-678-5178,https://nonojisakanosita.owst.jp/,あり,なし,
オリオン横丁,居酒屋,中央,〒320-0802 宇都宮市江野町2-10,028-678-2107,なし,あり,なし,
中華料理　辰吉,中華,中央,〒320-0844 宇都宮市菊水町2-7,028-633-8115,なし,あり,なし,
讃岐うどん太一,うどん・そば,南部,〒321-0112 宇都宮市屋板町578-209,028-656-4441,なし,なし,なし,
すし亭ゆず,和食,北部,〒329-1104 宇都宮市下岡本町2495-8,028-673-1695,なし,あり,なし,
まぐろ・うどん・ゆるりや,和食,北部,〒321-0414 宇都宮市中里町225,028-674-3880,なし,なし,なし,
頑固店主の日本式フランス風居酒屋　順,イタリアン・フレンチ,中央,〒320-0804 宇都宮市二荒町1-7,080-8869-0010,なし,なし,なし,
bamboo forest kitchen,中華,東部,〒321-0903 宇都宮市下平出町1474-2,028-306-3144,https://m.facebook.com/bamboo.forest.kitchen/,あり,あり,
中国料理小閣樓東簗瀬宇都宮店,中華,東部,〒321-0925 宇都宮市東簗瀬1-4-1,028-666-7995,なし,あり,なし,
料亭明治屋,和食,西部,〒320-0043 宇都宮市桜5-1-3,028-635-3119,なし,あり,あり,
酪駄屋,お好み焼き・もんじゃ焼き・焼きそば,中央,〒320-0015 宇都宮市八幡台19-19,028-624-9396,なし,あり,なし,
陣谷,居酒屋,中央,〒320-0806 宇都宮市中央1-4-8,028-633-7514,なし,なし,なし,
欧風菓子グリンデルベルグ済生会北店,カフェ・スイーツ,北部,〒321-0973 宇都宮市岩曽町743-1,028-678-2551,https://grindelberg.co.jp/,あり,なし,
トラットリア　ステッラ,イタリアン・フレンチ,東部,〒321-0951 宇都宮市越戸3-15-9,028-660-5733,https://www.stella0422.com/,あり,なし,
創作ダイニングNOBU,洋食,西部,〒320-0046 宇都宮市西一の沢町10-8,028-648-6222,なし,あり,なし,
ダイリン,中華,西部,〒320-0051 宇都宮市上戸祭町3052-4,028-621-6061,なし,あり,あり,
バーミヤン 宇都宮明保野,中華,中央,〒320-0845 宇都宮市明保野町5-10,028-651-2162,https://www.skylark.co.jp/,あり,なし,
牛一頭うしわか丸,焼肉・ホルモン,東部,〒321-0953 宇都宮市東宿郷2-11-2,028-639-3456,なし,あり,あり,
花こよみ,居酒屋,南部,〒321-0102 宇都宮市江曽島町1266-13,028-658-1250,なし,なし,なし,
イタリア料理ジョヴァンニ,イタリアン・フレンチ,中央,〒320-0802 宇都宮市江野町5-12みよしﾋﾞﾙ1階,028-634-1800,なし,あり,なし,
さかな処　だいだい,和食,中央,〒321-0964 宇都宮市駅前通り3-2-3,028-634-5211,なし,なし,なし,
ル・メトロ,イタリアン・フレンチ,中央,〒320-0801 宇都宮市池上町1-11,028-634-4545,なし,あり,なし,
タベルナサクライ,イタリアン・フレンチ,東部,〒321-0904 宇都宮市陽東8-2-7,028-636-5635,なし,なし,なし,
味処　一路,和食,北部,〒321-0975 宇都宮市関堀町1177,028-625-2186,https://www.ajidokoro-ichiro.com/,あり,あり,
ステーキ宮　宇都宮店,ステーキ,西部,〒320-0051 宇都宮市上戸祭町519-15,028-627-0888,なし,あり,あり,
麺屋りんく　ベルテラシェ大谷内フードコート,ラーメン,西部,〒320-0345 宇都宮市大谷町1263-2,028-652-3500,なし,なし,なし,
洋食屋　リコリコ,洋食,中央,〒320-0027 宇都宮市塙田4-2-18,028-678-2525,https://www.rico-rico.net/,あり,なし,
EZ DO MARKET UTSUNOMIYA,居酒屋,中央,〒320-0024 宇都宮市栄町1-6栄町マンション202,090-6162-9018,なし,あり,なし,
忠兵衛ピース,うどん・そば,北部,〒329-1112 宇都宮市上田原町20-1,028-672-3900,なし,なし,なし,
酒・楽・風　コロナ,居酒屋,南部,〒321-0932 宇都宮市平松本町1109-12,028-634-8567,なし,なし,なし,
FLAT Cafe,カフェ・スイーツ,西部,〒320-0053 宇都宮市戸祭町2123-1,028-678-6388,https://asiston.org/,あり,あり,
噂ノ丼,和食,北部,〒329-1105 宇都宮市中岡本町2663-162,028-908-8275,https://uwasanodon.com/,あり,あり,
寿司割烹恵風駅東口店,和食,東部,〒321-0953 宇都宮市東宿郷2-11-8,携帯で良い？,なし,あり,なし,
喫茶とちの木,カフェ・スイーツ,中央,〒320-0055 宇都宮市下戸祭2-3-23,028-623-5585,なし,あり,なし,
イタリアン創作酒房　柳庵,イタリアン・フレンチ,中央,〒320-0055 宇都宮市下戸祭2-2-6,028-621-0081,https://ryuan.gorp.jp/,あり,なし,
GINZA YATAI BAR,居酒屋,中央,〒320-0026 宇都宮市馬場通り3-1-17STM2ビルB1F,028-614-2100,なし,あり,あり,
県庁前長寿庵,うどん・そば,中央,〒320-0027 宇都宮市塙田2-3-15,028-622-6820,なし,あり,あり,
宇都宮餃子さつき本店（対象：店内飲食等）,餃子,北部,〒321-2116 宇都宮市徳次郎町190-4,028-688-0106,http://www.satsuki-gyoza.com,あり,なし,
食処　酒処　貴,居酒屋,北部,〒321-0974 宇都宮市竹林町333-1,028-621-8131,なし,あり,なし,
季節料理　なかはら,和食,東部,〒321-0945 宇都宮市宿郷5-1-12,028-633-8738,http://www.kr-nakahara.com/,なし,なし,
HIRO:Z,その他,中央,〒320-0033 宇都宮市本町4-1,028-622-8577,なし,なし,なし,
割烹　魚勇,和食,南部,〒321-0923 宇都宮市下栗町下栗町1535-21,028-635-9514,https://www.uoyu.net/,あり,なし,
鮨処・和食えん,和食,南部,〒321-0164 宇都宮市双葉1-13-61,028-659-7331,なし,なし,なし,
中国家庭料理　祥瑞坊　宇都宮店,中華,中央,〒320-0013 宇都宮市上大曽町362-12F,028-643-5088,なし,あり,あり,
パイプレストデュエ,各国料理（韓国料理・カレー等）,東部,〒321-0945 宇都宮市宿郷3-2-1ハウスタケウラ１F,028-612-8109,https://tochinavi.net/spot/home/?id=8260,なし,なし,
酒場　角次郎,居酒屋,中央,〒320-0804 宇都宮市二荒町5-23くれよんﾋﾞﾙ1F,080-8180-2840,なし,なし,なし,
きらく伝馬町店,ステーキ,中央,〒320-0035 宇都宮市伝馬町4-2,028-634-6588,なし,あり,なし,
仲屋そば店,うどん・そば,西部,〒320-0851 宇都宮市鶴田町1992,028-648-3828,なし,なし,なし,
餃子専門店　香蘭(対象:店内飲食等）,餃子,中央,〒320-0033 宇都宮市本町1-24,028-622-4024,なし,あり,なし,
ぎょうざの龍門,餃子,北部,〒321-0984 宇都宮市御幸町154-2,028-663-8131,なし,あり,なし,
ぶつをのうどん,うどん・そば,中央,〒320-0807 宇都宮市松が峰2-9-3TMﾋﾞﾙ1階,028-639-0477,なし,なし,なし,
香蘭　宇都宮駅西口店(対象:店内飲食等）,餃子,中央,〒321-0964 宇都宮市駅前通り1-5-9,028-612-4730,なし,あり,なし,
和牛ステーキ　桜,ステーキ,東部,〒321-0904 宇都宮市陽東2-16-8ベルグランドハイツ１F,028-664-3343,https://www.steak-sakura.net/,あり,なし,
ちどりあし,居酒屋,中央,〒321-0964 宇都宮市駅前通り1-1-4,028-680-6497,なし,なし,なし,
保護猫カフェ　猫見家,カフェ・スイーツ,中央,〒320-0802 宇都宮市江野町3-7矢口ﾋﾞﾙ2F,028-307-6174,なし,なし,なし,
ホルモン焼　田,焼肉・ホルモン,南部,〒321-0107 宇都宮市江曽島1-15-13,028-659-6777,なし,なし,なし,
中華バル魔法のキッチン,中華,北部,〒321-0973 宇都宮市岩曽町1392-29,028-611-3813,なし,あり,なし,
こむさし,ラーメン,東部,〒321-0945 宇都宮市宿郷5-2-1成和ビル1F,028-633-6347,https://komusashi.crayonsite.net,あり,なし,
中華　昇華,中華,中央,〒320-0026 宇都宮市馬場通り4-3-16K&Jﾋﾞﾙ1F,090-4076-6112,なし,あり,あり,
恵風の焼にく,焼肉・ホルモン,南部,〒321-0111 宇都宮市川田町38-3,携帯で良い？,なし,あり,なし,
松が峰　田中屋,うどん・そば,中央,〒320-0807 宇都宮市松が峰1-2-6,028-634-5010,なし,あり,あり,
焼肉南峰苑,焼肉・ホルモン,東部,〒321-0944 宇都宮市東峰町3095-3,028-663-5627,なし,なし,なし,
Vis a Vis de copain,イタリアン・フレンチ,南部,〒321-0152 宇都宮市西川田6-4-5,028-659-5155,なし,なし,なし,
ビストロソレイユ,イタリアン・フレンチ,中央,〒320-0808 宇都宮市宮園町2-4ﾌﾟﾚｿﾞﾝﾏﾛﾆｴ101,028-666-7004,https://www.facebook.com/Bistro.Soleil.jp,あり,なし,
彩花,ラーメン,北部,〒321-2118 宇都宮市新里町甲454-5,028-652-3438,なし,あり,なし,
博多らーめん万々,ラーメン,南部,〒321-0111 宇都宮市川田町773-3,028-666-6840,なし,あり,なし,
HACHINOJO,イタリアン・フレンチ,中央,〒321-0933 宇都宮市簗瀬町1785-17,028-638-9235,https://hachinojo.com/,なし,なし,
PIZZA HACHI,イタリアン・フレンチ,中央,〒321-0933 宇都宮市簗瀬町1785-18,028-634-2882,https://pizzahachi.com/,あり,なし,
宇都宮みんみん本店（対象：店内飲食等）,餃子,中央,〒320-0026 宇都宮市馬場通り4-2-3,028-622-5789,https://minmin.co.jp,あり,なし,
宇都宮みんみん宿郷店（対象：店内飲食等）,餃子,東部,〒321-0953 宇都宮市東宿郷3-13-6,028-636-8775,https://minmin.co.jp,あり,なし,
宇都宮みんみん江曽島店（対象：店内飲食等）,餃子,南部,〒321-0101 宇都宮市江曽島本町23-4,028-659-2055,https://minmin.co.jp,あり,なし,
宇都宮みんみんホテルメッツ店（対象：店内飲食等）,餃子,中央,〒321-0965 宇都宮市川向町1-23ホテル・メッツ宇都宮3F,028-600-3151,https://minmin.co.jp,あり,なし,
宇都宮みんみんステーションバル（対象：店内飲食等）,餃子,中央,〒321-0965 宇都宮市川向町1-23ホテル・メッツ宇都宮3F,028-689-9177,https://minmin.co.jp,あり,なし,
宇都宮みんみん来らっせ店（対象：店内飲食等）,餃子,中央,〒320-0026 宇都宮市馬場通り2-3-12MEGAドンキホーテ地下１階,028-638-1313,https://minmin.co.jp,あり,なし,
ジンギスカン専門店　じん助　西口店,焼肉・ホルモン,中央,〒320-0027 宇都宮市塙田3-1-6ヤマトビル1階,028-688-8929,なし,なし,なし,
牡蠣三昧,和食,東部,〒321-0953 宇都宮市東宿郷1-5-18駅前横丁内,028-633-3334,なし,なし,なし,
手品家　宇都宮店,ダイニングバー・バル,中央,〒320-0801 宇都宮市池上町4-8鈴長ビル地下1階,028-633-0478,なし,なし,なし,
ぼった焼き　恵比寿,お好み焼き・もんじゃ焼き・焼きそば,中央,〒320-0805 宇都宮市中央本町1-4マルヨシビル1階,028-636-5757,なし,なし,なし,
DINING　BAR　WOOD,ダイニングバー・バル,東部,〒321-0953 宇都宮市東宿郷2-14-3ムーンガーデンビル1階,028-639-4320,なし,なし,なし,
炭焼豚丼 豚元,和食,北部,〒321-0982 宇都宮市御幸ｹ原町116-15,028-662-8686,なし,あり,なし,
デリカテッセン　きまぐれきっちん,洋食,南部,〒321-0166 宇都宮市今宮2-17-1今宮ビル１－B,028-348-2413,https://www.instagram.com./caprice_des_cuisine/,あり,なし,
手打ちそば和の里,うどん・そば,東部,〒321-0954 宇都宮市元今泉3-8-7,028-639-9155,なし,なし,なし,
恵風本店,和食,東部,〒321-0953 宇都宮市東宿郷3-2-25,携帯で良い？,なし,あり,なし,
izakaya むつ五郎,居酒屋,東部,〒321-0954 宇都宮市元今泉3-3-14,028-635-6256,なし,あり,なし,
